,model,hyper,metric,value,ts,k
34,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@5,0.11178834145793333,2019-12-18 01:39:11.329945,5
35,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@6,0.11890795397329673,2019-12-18 01:39:28.051548,6
36,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@7,0.1250809193882928,2019-12-18 01:39:45.140811,7
37,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@8,0.13027851884114164,2019-12-18 01:40:02.073983,8
38,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@9,0.13519894674548863,2019-12-18 01:40:19.193562,9
39,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@10,0.13959638505198083,2019-12-18 01:40:36.009124,10
40,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@1,0.02730583581647411,2019-12-18 01:58:00.216802,1
41,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@2,0.04110917639202194,2019-12-18 01:58:17.467511,2
42,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@3,0.05093282983269667,2019-12-18 01:58:34.780071,3
43,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@4,0.058827853777025665,2019-12-18 01:58:51.603943,4
44,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@5,0.06549145354616062,2019-12-18 01:59:08.708671,5
45,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@6,0.07122371585808239,2019-12-18 01:59:25.708660,6
46,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@7,0.07632940181483228,2019-12-18 01:59:43.081704,7
47,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@8,0.08108993265450744,2019-12-18 01:59:59.795235,8
48,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@9,0.08537559851014492,2019-12-18 02:00:17.410929,9
49,surprise_SVD,"[('lr_all', 0.002), ('n_factors', 10), ('reg_all', 0.01)]",ndcg@10,0.08947580881252634,2019-12-18 02:00:34.239742,10
