dataset,model,hyper,metric,value,fold,path,ts
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.01), ('l2_reg_w', 0.01), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",rmse,8.045615526792428,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.01-l2_reg_w_0.01-model_info_used_Item-n_iter_50-rank_2/Rating_fold_-1.parquet,2019-12-15 23:16:30.079732
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@10,0.133660644441719,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 23:19:00.431304
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",precision@10,0.025124375942076962,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 23:19:00.431828
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",rmse,1.232131392457352,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.001/Rating_fold_-1.parquet,2019-12-15 23:19:00.441357
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.01)]",ndcg@10,0.016060073010697687,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:29:58.944624
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.01)]",precision@10,0.0033492197642302638,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:29:58.945117
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.01)]",rmse,0.9951373795118468,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.01/Rating_fold_-1.parquet,2019-12-15 23:29:58.954511
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",ndcg@10,0.03484236347135285,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-15 23:32:03.397440
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",precision@10,0.007640232108317217,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-15 23:32:03.398161
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.05), ('l2_reg_w', 0.05), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",rmse,6.718333959242526,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.05-l2_reg_w_0.05-model_info_used_Item-n_iter_50-rank_2/Rating_fold_-1.parquet,2019-12-15 23:32:03.410027
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.01)]",ndcg@10,0.010328077940429664,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:41:15.368948
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.01)]",precision@10,0.0023847072046561464,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:41:15.369535
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.01)]",rmse,0.9999180999338415,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.01/Rating_fold_-1.parquet,2019-12-15 23:41:15.391184
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",ndcg@10,0.040360337195977175,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-15 23:47:06.029810
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",precision@10,0.008662240577134198,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-15 23:47:06.030345
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.1), ('l2_reg_w', 0.1), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",rmse,5.6960724287959446,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.1-l2_reg_w_0.1-model_info_used_Item-n_iter_50-rank_2/Rating_fold_-1.parquet,2019-12-15 23:47:06.042678
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.01)]",ndcg@10,0.11480457646541678,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:52:27.025702
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.01)]",precision@10,0.022433847681946093,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.01/Ranking_fold_-1.parquet,2019-12-15 23:52:27.026290
