dataset,model,hyper,metric,value,fold,path,ts
user_10_item_1_exp,CollectiveMF_User,"[('k', 4), ('reg_param', 0.0001), ('w_main', 1.0)]",rmse,1.399098179379997,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_4-reg_param_0.0001-w_main_1.0/Rating_fold_-1.parquet,2019-12-15 00:02:44.585687
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.5)]",ndcg@10,0.13224338314797254,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.5/Ranking_fold_-1.parquet,2019-12-15 00:07:39.796241
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.5)]",precision@10,0.024317565978061045,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.5/Ranking_fold_-1.parquet,2019-12-15 00:07:39.796671
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.5)]",rmse,1.4754751086158358,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.5/Rating_fold_-1.parquet,2019-12-15 00:07:39.845988
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.0001), ('w_main', 0.5)]",ndcg@10,0.11573063348821833,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.0001-w_main_0.5/Ranking_fold_-1.parquet,2019-12-15 00:17:21.396014
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.0001), ('w_main', 0.5)]",precision@10,0.022102759359779737,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.0001-w_main_0.5/Ranking_fold_-1.parquet,2019-12-15 00:17:21.396445
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.0001), ('w_main', 0.5)]",rmse,1.4242804843155015,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.0001-w_main_0.5/Rating_fold_-1.parquet,2019-12-15 00:17:21.439680
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.8)]",ndcg@10,0.13051841943837747,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.8/Ranking_fold_-1.parquet,2019-12-15 00:22:17.563930
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.8)]",precision@10,0.024158992097444515,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.8/Ranking_fold_-1.parquet,2019-12-15 00:22:17.564393
user_10_item_1_exp,CollectiveMF_User,"[('k', 8), ('reg_param', 0.001), ('w_main', 0.8)]",rmse,1.469289001482647,-1,/media/ExtHDD01/log/user_10_item_1_exp/CollectiveMF_User/k_8-reg_param_0.001-w_main_0.8/Rating_fold_-1.parquet,2019-12-15 00:22:18.026993
